Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['29.[150]', '29…(1966)'];;;Vessel fragment, Alphabetic Ugaritic;;Vessel;unknown;Residential District;;Quartier Résidentiel, au sud de la M. de Rapanu, tombe 4698;;;RS 29.[150];Alphabetic;Ugaritic;140 x 210 x 8;6.64;;;
RS;['94.2388'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7914;House of Urtenu;;Quartier Sud Centre;;;RS 94.2388;Logosyllabic;Akkadian;65 x 64 x 27;;;;
RS;['94.2389'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7915;House of Urtenu;;Quartier Sud Centre;;;RS 94.2389;Logosyllabic;Akkadian;55 x 72 x 28;;;;
RS;['94.2393', '94.2612'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7919;House of Urtenu;;Quartier Sud Centre;;;RS 94.2393+;Logosyllabic;Akkadian;38 x 45 x 20;;;;
RS;['94.2394'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7920;House of Urtenu;;Quartier Sud Centre;;;RS 94.2394;Logosyllabic;Akkadian;45 x 53 x 15;;;;
RS;['17.025', 'No.450'];;;Seal, Alphabetic Ugaritic;;Seal;DO 2590;Residential District;;Quartier Résidentiel, au nord de room 52, p.t. 646;;;RS 17.025;Alphabetic;Ugaritic;24 x 13 (diam.);6.66;;+seal inscription;
RS;['94.2396'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7922;House of Urtenu;;Quartier Sud Centre;;;RS 94.2396;Logosyllabic;Akkadian;89 x 56 x 24;;;;
RS;['94.2397', '94.2172'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7844;House of Urtenu;;Quartier Sud Centre;;;RS 94.2172+;Logosyllabic;Akkadian;55 x 59 x 21;;;;
RS;['94.2398', '94.2448'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7923;House of Urtenu;;Quartier Sud Centre;;;RS 94.2398+;Logosyllabic;Akkadian;39 x 26 x 23;;;;
;['KL77:66', 'Kamidel-Loz77:66'];;;Inscription on pithos handle, Alphabetic Ugaritic;;Vessel;Beyrouth KL 77:66;outside;;Kamid el-Loz Palais P 2;;;Kamid el-Loz 77:66;Alphabetic;Ugaritic;40 cm long, 30 cm high;6.67;;;
;['HalaSultanTeke'];;;Vessel, Alphabetic Ugaritic;;Vessel;Nicosie;outside;;;;;Hala Sultan Teke;Alphabetic;Ugaritic;"Inscription: 45 x 31; Objet: 152 (diam) x 42";6.68;;;
RS;['94.2399'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7924;House of Urtenu;;Quartier Sud Centre;;;RS 94.2399;Logosyllabic;Akkadian;36 x 43 x 23;;;;
RS;['94.2402'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7926;House of Urtenu;;Quartier Sud Centre;;;RS 94.2402;Logosyllabic;Akkadian;68 x 64 x 23;;;;
RS;['94.2403'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7927;House of Urtenu;;Quartier Sud Centre;;;RS 94.2403;Logosyllabic;Akkadian;39 x 53 x 25;;;;
RS;['94.2404'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7928;House of Urtenu;;Quartier Sud Centre;;;RS 94.2404;Logosyllabic;Akkadian;34 x 61 x 26;;;;
RS;['94.2407'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7931;House of Urtenu;;Quartier Sud Centre;;;RS 94.2407;Logosyllabic;Akkadian;88 x 65 x 22;;;;
RS;['94.2413'];;;Tablet;;Tablet;DO 7937;House of Urtenu;;Quartier Sud Centre;;;;;;+ impression de sceau 50 x 55 18;;;;
RS;['94.2408'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7932;House of Urtenu;;Quartier Sud Centre;;;RS 94.2408;Logosyllabic;Akkadian;74 x 55 x 20;;;;
RS;['94.2410'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7934;House of Urtenu;;Quartier Sud Centre;;;RS 94.2410;Logosyllabic;Akkadian;63 x 64 x 22;;;;
RS;['94.2943', '94.5019', '2002.3000.01'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 8081;House of Urtenu;;Quartier Sud Centre;;;RS 94.2943+;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";44 x 62 x 25;4.861;;;
RS;['94.2412'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7936;House of Urtenu;;Quartier Sud Centre;;;RS 94.2412;Logosyllabic;Akkadian;84 x 62 x 22;;;;
RS;['94.2415'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7939;House of Urtenu;;Quartier Sud Centre;;;RS 94.2415;Logosyllabic;Akkadian;93 x 60 x 28;;;;
RS;['94.2421'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;50 x 35 x 19;;;;
RS;['94.2422'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;35 x 55 x 26;;;;
RS;['94.2417'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7941;House of Urtenu;;Quartier Sud Centre;;;RS 94.2417;Logosyllabic;Akkadian;?;;;;
RS;['94.2418', '94.2416'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7940;House of Urtenu;;Quartier Sud Centre;;;RS 94.2416+;Logosyllabic;Akkadian;54 x 64 x 20;;;;
RS;['7.088'];;;Stamp seal, Alphabetic Ugaritic;;Seal;AO 18.576;Acropolis;;Acropole, au S de la M. du Gr. Ptetre, «Tran- chée coudée II, p.t. 44 ? 0,50»;44;0,5;RS 7.088;Alphabetic;Ugaritic;15 x 15 x 8;6.69;;+seal inscription;
RS;['94.2419'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7942;House of Urtenu;;Quartier Sud Centre;;;RS 94.2419;Logosyllabic;Akkadian;70 x 50 x 27;;;;
;['SareptaII-A-9encl.6', 'Sarepta3102'];;;Jug handle with inscription, Alphabetic Ugaritic;;Vessel;Beyrouth Sar 3102;outside;;Sarepta;;;Sarepta 3102;Alphabetic;Ugaritic;;6.70;;;
RS;['94.2420', '94.2390'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7916;House of Urtenu;;Quartier Sud Centre;;;RS 94.2390+;Logosyllabic;Akkadian;81 x 59 x 24;;;;
RS;['94.2423'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7943;House of Urtenu;;Quartier Sud Centre;;;RS 94.2423;Logosyllabic;Akkadian;55 x 65 x 12;;;;
;['TellNebiMend022'];;;Alphabetic inscription on a sherd;;Vessel;Homs TNM 022;outside;;Tell Nebi Mend;;;TNM 022;Alphabetic;Ugaritic;hauteur des signes: de 9 ? 18;6.71;;;
RS;['94.2424', '94.2414'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7938;House of Urtenu;;Quartier Sud Centre;;;RS 94.2414+;Logosyllabic;Akkadian;74 x 68 x 22;;;;
RS;['94.2276'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 7872;House of Urtenu;;Quartier Sud Centre;;;RS 94.2276;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";68 x 64 x 28;4.863;;;
RS;['94.2430', '94.2532'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7947;House of Urtenu;;Quartier Sud Centre;;;RS 94.2430+;Logosyllabic;Akkadian;65 x 48 x 26;;;;
RS;['94.2431'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7948;House of Urtenu;;Quartier Sud Centre;;;RS 94.2431;Logosyllabic;Akkadian;64 x 42 x 10;;;;
RS;['94.2433'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7949;House of Urtenu;;Quartier Sud Centre;;;RS 94.2433;Logosyllabic;Akkadian;118 x 109 x 24;;;;
RS;['94.2432', '94.2409'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 7933;House of Urtenu;;Quartier Sud Centre;;;RS 94.2409+;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";88 x 63 x 27;4.866;;;
RS;['94.2437', '94.2427'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7951;House of Urtenu;;Quartier Sud Centre;;;RS 94.2427+;Logosyllabic;Akkadian;45 x 25 x 24;;;;
RS;['94.2438', '94.2444'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7952;House of Urtenu;;Quartier Sud Centre;;;RS 94.2438+;Logosyllabic;Akkadian;108 x 50 x 24;;;;
RS;['94.2603'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 8066;House of Urtenu;;Quartier Sud Centre;;;RS 94.2603;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";59 x 49 x 17;4.867;;;
RS;['94.2078'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 7832;House of Urtenu;;Quartier Sud Centre;;;RS 94.2078;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";51 x 45 x 17;4.868;;;
RS;['94.2441', '94.2522'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7955;House of Urtenu;;Quartier Sud Centre;;;RS 94.2441+;Logosyllabic;Akkadian;60 x 74 x 24;;;;
RIH;['87/02'];;;;;Tablet;Damas s.n.;Ras Ibn-Hani;;Palais Nord room IV, dans le mur NE;;;RIH 87/02;Alphabetic;Ugaritic;30 x 40 x 27;4.869;;;
RIH;['78/22'];;;;;Tablet;DO 8390;Ras Ibn-Hani;;Palais Nord E 85 SE, L. IV (30 VII);;;RIH 78/22;Alphabetic;Ugaritic;44 x 51 x 32;4.870;;;
RS;['94.2442'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7956;House of Urtenu;;Quartier Sud Centre;;;RS 94.2442;Logosyllabic;Akkadian;61 x 51 x 24;;;;
RS;['94.2452'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;31 x 22 x 15;;;;
RS;['94.2443'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7957;House of Urtenu;;Quartier Sud Centre;;;RS 94.2443;Logosyllabic;Akkadian;70 x 51 x 25;;;;
RS;['94.2445'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7958;House of Urtenu;;Quartier Sud Centre;;;RS 94.2445;Logosyllabic;Akkadian;79 x 61 x 26;;;;
RS;['94.2446'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7959;House of Urtenu;;Quartier Sud Centre;;;RS 94.2446;Logosyllabic;Akkadian;52 x 80 x 27;;;;
RS;['94.2456'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;62 x 36 x 23;;;;
RS;['No.375', '6.127'];;;Seal, Alphabetic Ugaritic;;Seal;;Acropolis;;Acropole «Banquette entre temple et biblioth?que, p.t. 1 ? 2,0»;1;2;RS 6.127;Alphabetic;Ugaritic;22 (hauteur) x 10 (diam.);6.72;;seal;
RS;['4.409'];;;Seal, Alphabetic Ugaritic;;Seal;;;;unknown;;;RS 4.409;Alphabetic;Ugaritic;;6.73;;+seal inscription?;
RS;['No.412', '8.005'];PRAVDA;;Seal, Alphabetic Ugaritic;;Seal;AO 19.170;Lower City;;Ville Basse Ouest, chantier III, p.t. 14 ? 1,20;14;1,2;RS 8.005;Alphabetic;Ugaritic;20 (hauteur) x 9 (diam.);6.74;;+seal inscription;
RS;['94.2451'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7962;House of Urtenu;;Quartier Sud Centre;;;RS 94.2451;Logosyllabic;Akkadian;40 x 24 x 17;;;;
RS;['94.2453'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7963;House of Urtenu;;Quartier Sud Centre;;;RS 94.2453;Logosyllabic;Akkadian;"25 x 39 x 15; 11 x 21 x 10";;;;
RS;['80.042'];;;Handle with inscription, Alphabetic Ugaritic;;Vessel;;City Centre;;Centre Ville, Maison B, room 1044, A1/c1-2;;;RS 80.042;Alphabetic;Ugaritic;28 x 100 x 20 (anse) 31 x 24 (inscription);6.76;;;
RS;['11.797'];;;Tablet, Alphabetic Ugaritic with Akkadian summary;;Tablet;AO 19.996;Northwest of the tell;;Butte NW Tell «S.R. 2419 ? 1,15»;;;RS 11.797;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";40 x 50 x 22;4.90;;;
RS;['94.2455'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7965;House of Urtenu;;Quartier Sud Centre;;;RS 94.2455;Logosyllabic;Akkadian;60 x 38 x 25;;;;
RS;['94.2467'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;44 x 34 x 25;;;;
RS;['94.2461', '94.2194'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7865;House of Urtenu;;Quartier Sud Centre;;;RS 94.2194+;Logosyllabic;Akkadian;59 x 54 x 26;;;;
RS;['25.188'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 2946;South Acropolis;;Sud Acropole, ? l'E de la Maison aux Foies, p.t. 4126 ? 1,25;4126;1,25;RS 25.188;Alphabetic;Ugaritic;Objet: 40 x 30 x 20 Inscr.: 20 x 5;6.95;;+seal inscription;
RS;['94.2462'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7970;House of Urtenu;;Quartier Sud Centre;;;RS 94.2462;Logosyllabic;Akkadian;55 x 79 x 22;;;;
RS;['94.2464'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7972;House of Urtenu;;Quartier Sud Centre;;;RS 94.2464;Logosyllabic;Akkadian;40 x 52 x 26;;;;
RS;['94.2466'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7974;House of Urtenu;;Quartier Sud Centre;;;RS 94.2466;Logosyllabic;Akkadian;62 x 44 x 20;;;;
RS;['94.2471', '94.2534'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7977;House of Urtenu;;Quartier Sud Centre;;;RS 94.2471+;Logosyllabic;Akkadian;44 54 x 18;;;;
RS;['21.069', '20.148'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 5320;Residential District;;Quartier Rés., ? l'E de la M. de Rapanu, room 34, p.t. 1885 ? 0,60;1885;0,6;RS 20.148+;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";130 x 150 x 43;5.16;;;
RS;['94.2474'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7980;House of Urtenu;;Quartier Sud Centre;;;RS 94.2474;Logosyllabic;Akkadian;103 x 70 x 31;;;;
RS;['94.2475'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7981;House of Urtenu;;Quartier Sud Centre;;;RS 94.2475;Logosyllabic;Akkadian;64 x 67 x 27;;;;
RS;['94.2476'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2476;Logosyllabic;Akkadian;36 x 40 x 22;;;;
RS;['18.[421]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[421];Alphabetic;Ugaritic;18 x 12 x 4;7.100;;;
RS;['94.2477', '94.2618'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7982;House of Urtenu;;Quartier Sud Centre;;;RS 94.2477+;Logosyllabic;Akkadian;84 x 64 x 22;;;;
RS;['94.2478'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7983;House of Urtenu;;Quartier Sud Centre;;;RS 94.2478;Logosyllabic;Akkadian;75 x 57 x 26;;;;
RS;['94.2482'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7986;House of Urtenu;;Quartier Sud Centre;;;RS 94.2482;Logosyllabic;Akkadian;56 x 82 x 21;;;;
RS;['94.2483'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7987;House of Urtenu;;Quartier Sud Centre;;;RS 94.2483;Logosyllabic;Akkadian;66 x 50 x 26;;;;
RS;['94.2484'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7988;House of Urtenu;;Quartier Sud Centre;;;RS 94.2484;Logosyllabic;Akkadian;70 x 68 x 28;;;;
RS;['94.2485'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7989;House of Urtenu;;Quartier Sud Centre;;;RS 94.2485;Logosyllabic;Akkadian;96 x 64 x 19;;;;
RS;['94.2486'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7990;House of Urtenu;;Quartier Sud Centre;;;RS 94.2486;Logosyllabic;Akkadian;90 x 69 x 21;;;;
RS;['94.2487', '94.2503'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7991;House of Urtenu;;Quartier Sud Centre;;;RS 94.2487+;Logosyllabic;Akkadian;42 x 38 x 22;;;;
RS;['94.2489'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7992;House of Urtenu;;Quartier Sud Centre;;;RS 94.2489;Logosyllabic;Akkadian;62 x 46 x 20;;;;
RS;['94.2490'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7993;House of Urtenu;;Quartier Sud Centre;;;RS 94.2490;Logosyllabic;Akkadian;74 x 87 x 25;;;;
RS;['94.2491', '94.2177'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7849;House of Urtenu;;Quartier Sud Centre;;;RS 94.2177+;Logosyllabic;Akkadian;49 x 42 x 20;;;;
RS;['94.2492'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7994;House of Urtenu;;Quartier Sud Centre;;;RS 94.2492;Logosyllabic;Akkadian;92 x 65 x 29;;;;
RS;['94.2493'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7995;House of Urtenu;;Quartier Sud Centre;;;RS 94.2493;Logosyllabic;Akkadian;60 x 50 x 25;;;;
RS;['94.2494'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7996;House of Urtenu;;Quartier Sud Centre;;;RS 94.2494;Logosyllabic;Akkadian;89 x 63 x 22;;;;
RS;['94.2495'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7997;House of Urtenu;;Quartier Sud Centre;;;RS 94.2495;Logosyllabic;Akkadian;106 x 63 x 25;;;;
RS;['94.2496'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7998;House of Urtenu;;Quartier Sud Centre;;;RS 94.2496;Logosyllabic;Akkadian;74 x 33 x 24;;;;
RS;['94.2497'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7999;House of Urtenu;;Quartier Sud Centre;;;RS 94.2497;Logosyllabic;Akkadian;85 x 61 x 25;;;;
RS;['94.2500'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8001;House of Urtenu;;Quartier Sud Centre;;;RS 94.2500;Logosyllabic;Akkadian;70 x 66 x 23;;;;
RS;['94.2502'];;;Tablet;;Tablet;DO 8003;House of Urtenu;;Quartier Sud Centre;;;;;;79 x 45 x 24;;;;
RS;['94.2504A'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;53 x 46 x 21;;;;
RS;['94.2504B'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;24 x 28 x 12;;;;
RS;['94.2501'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8002;House of Urtenu;;Quartier Sud Centre;;;RS 94.2501;Logosyllabic;Akkadian;49 x 59 26;;;;
RS;['94.2505'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2505;Logosyllabic;Akkadian;37 x 40 x 13;;;;
RS;['94.2506'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8004;House of Urtenu;;Quartier Sud Centre;;;RS 94.2506;Logosyllabic;Akkadian;56 x 58 x 27;;;;
RS;['94.2507'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2507;Logosyllabic;Akkadian;40 x 26 x 21;;;;
RS;['94.2508', '94.2359', '94.2436'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7893;House of Urtenu;;Quartier Sud Centre;;;RS 94.2359+;Logosyllabic;Akkadian;72 x 54 x 18;;;;
RS;['94.2509'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8005;House of Urtenu;;Quartier Sud Centre;;;RS 94.2509;Logosyllabic;Akkadian;83 x 63 x 24;;;;
RS;['94.2510'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8006;House of Urtenu;;Quartier Sud Centre;;;RS 94.2510;Logosyllabic;Akkadian;93 x 61 x 32;;;;
RS;['94.2511'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8007;House of Urtenu;;Quartier Sud Centre;;;RS 94.2511;Logosyllabic;Akkadian;109 x 74 x 39;;;;
RS;['94.2512'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8008;House of Urtenu;;Quartier Sud Centre;;;RS 94.2512;Logosyllabic;Akkadian;78 x 58 x 26;;;;
RS;['94.2514'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;85 x 70 x 30;;;;
RS;['94.2513'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8009;House of Urtenu;;Quartier Sud Centre;;;RS 94.2513;Logosyllabic;Akkadian;70 x 85 x 30;;;;
RS;['94.2516'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;46 x 37 x 18;;;;
RS;['94.2517'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;27 x 14 x 18;;;;
RS;['94.2515'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8010;House of Urtenu;;Quartier Sud Centre;;;RS 94.2515;Logosyllabic;Akkadian;78 x 59 x 21;;;;
RS;['18.[422]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[422];Alphabetic;Ugaritic;11 x 16 x 4;7.101;;;
RS;['94.2518'];PRAVDA;King list;Tablet, Logosyllabic Akkadian;;Tablet;DO 8011;House of Urtenu;;Quartier Sud Centre;;;RS 94.2518;Logosyllabic;Akkadian;122 x 67 x 22;;;;
RS;['94.2521'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8014;House of Urtenu;;Quartier Sud Centre;;;RS 94.2521;Logosyllabic;Akkadian;67 x 60 x 23;;;;
RS;['94.2523'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8015;House of Urtenu;;Quartier Sud Centre;;;RS 94.2523;Logosyllabic;Akkadian;80 x 57 x 27;;;;
RS;['94.2524'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8016;House of Urtenu;;Quartier Sud Centre;;;RS 94.2524;Logosyllabic;Akkadian;94 x 64 x 30;;;;
RS;['94.2526'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;26 x 34 x 20;;;;
RS;['94.2525'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8017;House of Urtenu;;Quartier Sud Centre, room 2135, niche 2164;;;RS 94.2525;Logosyllabic;Akkadian;75 x 63 x 29;;;;
RS;['94.2527'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8018;House of Urtenu;;Quartier Sud Centre;;;RS 94.2527;Logosyllabic;Akkadian;92 x 61 x 28;;;;
RS;['94.2528'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8019;House of Urtenu;;Quartier Sud Centre;;;RS 94.2528;Logosyllabic;Akkadian;90 x 65 x 29;;;;
RS;['94.2529'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8020;House of Urtenu;;Quartier Sud Centre;;;RS 94.2529;Logosyllabic;Akkadian;54 x 66 x 24;;;;
RS;['94.2530'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8021;House of Urtenu;;Quartier Sud Centre;;;RS 94.2530;Logosyllabic;Akkadian;95 x 63 x 19;;;;
RS;['94.2531'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8022;House of Urtenu;;Quartier Sud Centre;;;RS 94.2531;Logosyllabic;Akkadian;88 x 83 x 35;;;;
RS;['94.2535'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;46 x 53 x 26;;;;
RS;['94.2533'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2533;Logosyllabic;Akkadian;42 x 59 x 31;;;;
RS;['18.[424]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[424];Alphabetic;Ugaritic;10 x 14 x 6;7.102;;;
RS;['94.2536'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2536;Logosyllabic;Akkadian;;;;;
RS;['94.2538'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8023;House of Urtenu;;Quartier Sud Centre;;;RS 94.2538;Logosyllabic;Akkadian;55 x 45 x 16;;;;
RS;['18.[431]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[431];Alphabetic;Ugaritic;12 x 8 x 4;7.103;;;
RS;['94.2540'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8025;House of Urtenu;;Quartier Sud Centre;;;RS 94.2540;Logosyllabic;Akkadian;60 x 59 x 20;;;;
RS;['94.2543'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2543;;;;;;;
RS;['94.2542'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8026;House of Urtenu;;Quartier Sud Centre;;;RS 94.2542;Logosyllabic;Akkadian;58 x 53 x 27;;;;
RS;['94.2546'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8029;House of Urtenu;;Quartier Sud Centre;;;RS 94.2546;Logosyllabic;Akkadian;77 x 50 x 22;;;;
RS;['94.2549'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8030;House of Urtenu;;Quartier Sud Centre;;;RS 94.2549;Logosyllabic;Akkadian;43 x 62 x 24;;;;
RS;['94.2550'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8031;House of Urtenu;;Quartier Sud Centre;;;RS 94.2550;Logosyllabic;Akkadian;72 x 50 x 16;;;;
RS;['94.2552'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2552;Logosyllabic;Akkadian;44 x 35 x 22;;;;
RS;['94.2553', '94.2299'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 7887;House of Urtenu;;Quartier Sud Centre, room 2135;;;RS 94.2299+;Logosyllabic;Akkadian;45 x 60 x 25;;;;
RS;['94.2554'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2554;;;;;;;
RS;['94.2556'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;RS 94.2556;Logosyllabic;Akkadian;78 x 44 x 22;;;;
RS;['94.2557'];;;Tablet;;Tablet;Damas s.n.;House of Urtenu;;Quartier Sud Centre;;;;;;43 x 33 x 13;;;;
RS;['94.2558'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 8033;House of Urtenu;;Quartier Sud Centre;;;RS 94.2558;Logosyllabic;Akkadian;65 x 47 x 20;;;;
